Latitude,Longitude,Mode,FIPS,Distance
42.35618693,-71.07328982,WLK,250250000000,2.428318455
42.35220642,-71.08560148,WLK,250250000000,1.276449558
42.35007698,-71.09486063,WLK,250250000000,0.994595435
42.35124487,-71.08932373,WLK,250250000000,1.148172433
42.35960872,-71.06937683,WLK,250250000000,2.59941864
42.3504283,-71.09892413,WLK,250250000000,1.180171305
42.3479721,-71.09968038,WLK,250250000000,1.197175184
42.35025872,-71.09686413,WLK,250250000000,0.994595435
42.34261591,-71.09000027,WLK,250250000000,1.941778531
42.34795017,-71.09700135,WLK,250250000000,1.197175184
42.34775067,-71.09770099,WLK,250250000000,1.197175184
42.34120511,-71.0912546,WLK,250250000000,1.840948258
42.3432411,-71.10126854,WLK,250250000000,1.819872346
42.35060886,-71.09283187,WLK,250250000000,0.994595435
42.34968399,-71.09471561,WLK,250250000000,0.994595435
41.56432807,-70.62539241,DRV,250010000000,102.3101174
42.29041805,-71.81361016,T,250277000000,79.72950643
42.30892768,-71.81731511,T,250277000000,79.44353415
42.47668955,-71.59777495,T,250278000000,58.59122317
42.36422345,-71.76511482,T,250277000000,74.84031997
42.13461587,-71.52078276,T,250277000000,53.55293938
42.54210121,-71.72281326,T,250277000000,72.57774333
42.53893085,-71.54658334,T,250278000000,56.064142
42.53750425,-71.54868906,T,250278000000,56.064142
42.46769352,-71.65375246,T,250277000000,64.44810447
42.29016576,-71.06129231,T,250251000000,8.523169695
42.28971655,-71.05990066,T,250251000000,8.523169695
42.33524126,-71.10167395,T,250251000000,2.865505535
42.2645884,-71.10304587,T,250251000000,10.51921003
42.35892966,-71.07035257,T,250250000000,2.799715144
42.36093568,-71.13453944,T,250250000000,4.368830818
42.315623,-71.0616284,T,250251000000,6.112836369
42.34837204,-71.13697504,T,250250000000,4.867814889
42.29174678,-71.11546039,T,250251000000,7.846470431
42.38549492,-70.98539052,T,250252000000,12.20289601
42.34323353,-71.1012314,T,250250000000,1.819872346
42.28808135,-71.08770918,T,250251000000,7.940996594
42.36722945,-71.05335547,T,250250000000,4.651785957
42.33647733,-71.02651701,T,250251000000,7.813008341
42.35401388,-71.12694677,T,250250000000,3.482587326
42.31860846,-71.04728439,T,250251000000,7.625005709
42.33774735,-71.03807309,T,250251000000,6.308429875
42.33915285,-71.07888031,T,250251000000,2.91252493
42.33503941,-71.10827984,T,250251000000,3.289709525
42.27603896,-71.06160126,T,250251000000,9.742145056
